"","BGC","RSMR","Current","2025","2055","2085","Pl.Current","Pl.2025","Pl.2055","Pl.2085","Sx.Current","Sx.2025","Sx.2055","Sx.2085","Bl.Current","Bl.2025","Bl.2055","Bl.2085","Fd.Current","Fd.2025","Fd.2055","Fd.2085","At.Current","At.2025","At.2055","At.2085","Ep.Current","Ep.2025","Ep.2055","Ep.2085","Ac.Current","Ac.2025","Ac.2055","Ac.2085"
"1","BWBSwk2",1,"MD","MD","VD2","VD2","M","H","VH","VH","H","VH","VH","VH","VH","VH","VH","VH","L","L","L","L","M","H","VH","VH","VH","VH","VH","VH","VH","VH","VH","VH"
"2","BWBSwk2",2,"SD","SD","SD","MD","L","L","M","M","L","M","M","H","M","H","H","VH","L","L","L","L","L","L","M","M","M","H","H","VH","H","VH","VH","VH"
"3","BWBSwk2",3,"F","SD","SD","SD","L","L","L","L","L","L","L","M","L","L","M","H","L","L","L","L","L","L","L","L","L","L","M","H","M","H","H","VH"
"4","BWBSwk2",4,"F","F","F","SD","L","L","L","L","L","L","L","L","L","L","L","L","L","L","L","L","L","L","L","L","L","L","L","L","M","M","M","H"
"5","BWBSwk2",5,"F","F","F","F","L","L","L","L","L","L","L","L","L","L","L","L","L","L","L","L","L","L","L","L","L","L","L","L","M","M","M","M"
"6","CWHws2",1,"F","F","SD","SD","L","L","L","L","L","L","L","L","L","L","L","M","L","L","L","L","L","L","L","L","L","L","L","M","M","M","H","H"
"7","CWHws2",2,"F","F","F","SD","L","L","L","L","L","L","L","L","L","L","L","L","L","L","L","L","L","L","L","L","L","L","L","L","M","M","M","H"
"8","CWHws2",3,"F","F","F","F","L","L","L","L","L","L","L","L","L","L","L","L","L","L","L","L","L","L","L","L","L","L","L","L","M","M","M","M"
"9","CWHws2",4,"F","F","F","F","L","L","L","L","L","L","L","L","L","L","L","L","L","L","L","L","L","L","L","L","L","L","L","L","M","M","M","M"
"10","CWHws2",5,"F","F","F","F","L","L","L","L","L","L","L","L","L","L","L","L","L","L","L","L","L","L","L","L","L","L","L","L","M","M","M","M"
"11","ESSFmv1",1,"SD","SD","MD","MD","L","M","M","H","M","M","H","H","M","H","VH","VH","L","L","L","L","L","M","M","H","M","H","VH","VH","VH","VH","VH","VH"
"12","ESSFmv1",2,"SD","SD","SD","SD","L","L","L","L","L","L","M","M","L","M","M","H","L","L","L","L","L","L","L","L","L","M","M","H","H","H","VH","VH"
"13","ESSFmv1",3,"F","SD","SD","SD","L","L","L","L","L","L","L","L","L","L","M","M","L","L","L","L","L","L","L","L","L","L","M","M","M","H","H","H"
"14","ESSFmv1",4,"F","F","F","SD","L","L","L","L","L","L","L","L","L","L","L","L","L","L","L","L","L","L","L","L","L","L","L","L","M","M","M","H"
"15","ESSFmv1",5,"F","F","F","F","L","L","L","L","L","L","L","L","L","L","L","L","L","L","L","L","L","L","L","L","L","L","L","L","M","M","M","M"
"16","ESSFmv2",1,"SD","SD","MD","MD","L","M","M","H","M","M","H","H","M","H","VH","VH","L","L","L","L","L","M","M","H","M","H","VH","VH","VH","VH","VH","VH"
"17","ESSFmv2",2,"SD","SD","SD","SD","L","L","L","L","L","L","M","M","L","M","M","H","L","L","L","L","L","L","L","L","L","M","M","H","H","H","VH","VH"
"18","ESSFmv2",3,"F","SD","SD","SD","L","L","L","L","L","L","L","L","L","L","L","M","L","L","L","L","L","L","L","L","L","L","L","M","M","H","H","H"
"19","ESSFmv2",4,"F","F","F","SD","L","L","L","L","L","L","L","L","L","L","L","L","L","L","L","L","L","L","L","L","L","L","L","L","M","M","M","H"
"20","ESSFmv2",5,"F","F","F","F","L","L","L","L","L","L","L","L","L","L","L","L","L","L","L","L","L","L","L","L","L","L","L","L","M","M","M","M"
"21","ESSFmv3",1,"SD","SD","MD","MD","L","M","M","H","M","M","H","H","M","H","VH","VH","L","L","L","L","L","M","M","H","M","H","VH","VH","VH","VH","VH","VH"
"22","ESSFmv3",2,"SD","SD","SD","SD","L","L","L","L","L","L","L","M","L","M","M","H","L","L","L","L","L","L","L","L","L","M","M","H","H","H","H","VH"
"23","ESSFmv3",3,"F","F","SD","SD","L","L","L","L","L","L","L","L","L","L","L","M","L","L","L","L","L","L","L","L","L","L","L","M","M","M","H","H"
"24","ESSFmv3",4,"F","F","F","F","L","L","L","L","L","L","L","L","L","L","L","L","L","L","L","L","L","L","L","L","L","L","L","L","M","M","M","M"
"25","ESSFmv3",5,"F","F","F","F","L","L","L","L","L","L","L","L","L","L","L","L","L","L","L","L","L","L","L","L","L","L","L","L","M","M","M","M"
"26","ESSFmv4",1,"SD","SD","MD","MD","L","L","M","H","M","M","H","H","M","H","VH","VH","L","L","L","L","L","L","M","H","M","H","VH","VH","VH","VH","VH","VH"
"27","ESSFmv4",2,"SD","SD","SD","SD","L","L","L","L","L","L","L","M","L","M","M","M","L","L","L","L","L","L","L","L","L","M","M","M","H","H","H","VH"
"28","ESSFmv4",3,"F","F","SD","SD","L","L","L","L","L","L","L","L","L","L","L","M","L","L","L","L","L","L","L","L","L","L","L","M","M","M","H","H"
"29","ESSFmv4",4,"F","F","F","F","L","L","L","L","L","L","L","L","L","L","L","L","L","L","L","L","L","L","L","L","L","L","L","L","M","M","M","M"
"30","ESSFmv4",5,"F","F","F","F","L","L","L","L","L","L","L","L","L","L","L","L","L","L","L","L","L","L","L","L","L","L","L","L","M","M","M","M"
"31","ESSFwc3",1,"F","F","SD","SD","L","L","L","L","L","L","L","L","L","L","L","M","L","L","L","L","L","L","L","L","L","L","L","M","M","M","H","H"
"32","ESSFwc3",2,"F","F","F","F","L","L","L","L","L","L","L","L","L","L","L","L","L","L","L","L","L","L","L","L","L","L","L","L","M","M","M","M"
"33","ESSFwc3",3,"F","F","F","F","L","L","L","L","L","L","L","L","L","L","L","L","L","L","L","L","L","L","L","L","L","L","L","L","M","M","M","M"
"34","ESSFwc3",4,"F","F","F","F","L","L","L","L","L","L","L","L","L","L","L","L","L","L","L","L","L","L","L","L","L","L","L","L","M","M","M","M"
"35","ESSFwc3",5,"F","F","F","F","L","L","L","L","L","L","L","L","L","L","L","L","L","L","L","L","L","L","L","L","L","L","L","L","M","M","M","M"
"36","ESSFwk1",1,"F","SD","SD","SD","L","L","L","L","L","L","L","M","L","L","M","M","L","L","L","L","L","L","L","L","L","L","M","M","M","H","H","VH"
"37","ESSFwk1",2,"F","F","SD","SD","L","L","L","L","L","L","L","L","L","L","L","L","L","L","L","L","L","L","L","L","L","L","L","L","M","M","H","H"
"38","ESSFwk1",3,"F","F","F","F","L","L","L","L","L","L","L","L","L","L","L","L","L","L","L","L","L","L","L","L","L","L","L","L","M","M","M","M"
"39","ESSFwk1",4,"F","F","F","F","L","L","L","L","L","L","L","L","L","L","L","L","L","L","L","L","L","L","L","L","L","L","L","L","M","M","M","M"
"40","ESSFwk1",5,"F","F","F","F","L","L","L","L","L","L","L","L","L","L","L","L","L","L","L","L","L","L","L","L","L","L","L","L","M","M","M","M"
"41","ESSFwk2",1,"F","SD","SD","SD","L","L","L","L","L","L","L","M","L","L","M","M","L","L","L","L","L","L","L","L","L","L","M","M","M","H","H","VH"
"42","ESSFwk2",2,"F","F","F","SD","L","L","L","L","L","L","L","L","L","L","L","L","L","L","L","L","L","L","L","L","L","L","L","L","M","M","M","H"
"43","ESSFwk2",3,"F","F","F","F","L","L","L","L","L","L","L","L","L","L","L","L","L","L","L","L","L","L","L","L","L","L","L","L","M","M","M","M"
"44","ESSFwk2",4,"F","F","F","F","L","L","L","L","L","L","L","L","L","L","L","L","L","L","L","L","L","L","L","L","L","L","L","L","M","M","M","M"
