Zone,Subzone,Variant,Site series,RSMR
BWBS,dk,1,01,4
BWBS,dk,1,02,1
BWBS,dk,1,03,2
BWBS,dk,1,04,3
BWBS,dk,1,05,3
BWBS,dk,1,06,5
BWBS,dk,1,07,5
BWBS,dk,1,08,6
BWBS,dk,1,09,6
BWBS,dk,1,81,2
BWBS,dk,1,82,2
ESSF,mm,1,01,4
ESSF,mm,1,02,1
ESSF,mm,1,03,2
ESSF,mm,1,04,2
ESSF,mm,1,05,5
ESSF,mm,1,06,6
ESSF,mm,1,07,7
ESSF,mv,1,01,4
ESSF,mv,1,02,2
ESSF,mv,1,03,3
ESSF,mv,1,04,5
ESSF,mv,1,05,6
ESSF,mv,2,01,4
ESSF,mv,2,02,2
ESSF,mv,2,03,4
ESSF,mv,2,04,4
ESSF,mv,2,05,5
ESSF,mv,2,06,6
ESSF,mv,3,01,4
ESSF,mv,3,02,2
ESSF,mv,3,03,4
ESSF,mv,3,04,4
ESSF,mv,3,05,5
ESSF,mv,3,06,6
ESSF,mv,3,07,6
ESSF,mv,3,08,2
ESSF,mv,3,51,5
ESSF,mv,3,AL,5
SBPS,mc,,01,4
SBPS,mc,,02,1
SBPS,mc,,03,3
SBPS,mc,,04,5
SBPS,mc,,05,5
SBPS,mc,,06,6
SBPS,mc,,07,7
SBS,dk,,01,4
SBS,dk,,02,1
SBS,dk,,03,2
SBS,dk,,04,2
SBS,dk,,05,3
SBS,dk,,06,4
SBS,dk,,07,5
SBS,dk,,08,5
SBS,dk,,09,6
SBS,dk,,10,7
SBS,dk,,SI,4
SBS,dk,,BF,4
SBS,dk,,81,2
SBS,dk,,82,2
SBS,dw,1,01,4
SBS,dw,1,02,1
SBS,dw,1,03,2
SBS,dw,1,04,3
SBS,dw,1,05,3
SBS,dw,1,06,4
SBS,dw,1,07,5
SBS,dw,1,08,5
SBS,dw,1,09,6
SBS,dw,2,01,4
SBS,dw,2,02,1
SBS,dw,2,03,2
SBS,dw,2,04,2
SBS,dw,2,05,3
SBS,dw,2,06,3
SBS,dw,2,07,4
SBS,dw,2,08,5
SBS,dw,2,09,5
SBS,dw,2,10,6
SBS,dw,3,01,4
SBS,dw,3,02,1
SBS,dw,3,03,2
SBS,dw,3,04,3
SBS,dw,3,05,4
SBS,dw,3,06,4
SBS,dw,3,07,5
SBS,dw,3,08,5
SBS,dw,3,09,6
SBS,dw,3,10,7
SBS,dw,3,SI,4
SBS,dw,3,51,5
SBS,dw,3,AL,5
SBS,mc,2,01,4
SBS,mc,2,02,1
SBS,mc,2,03,3
SBS,mc,2,04,4
SBS,mc,2,05,4
SBS,mc,2,06,4
SBS,mc,2,07,5
SBS,mc,2,08,5
SBS,mc,2,09,5
SBS,mc,2,10,6
SBS,mc,2,11,6
SBS,mc,2,12,7
SBS,mc,3,01,4
SBS,mc,3,02,1
SBS,mc,3,03,2
SBS,mc,3,04,3
SBS,mc,3,05,3
SBS,mc,3,06,5
SBS,mc,3,07,5
SBS,mc,3,08,6
SBS,mc,3,09,7
SBS,mc,3,SI,4
SBS,mh,,01,4
SBS,mh,,02,1
SBS,mh,,03,2
SBS,mh,,04,2
SBS,mh,,05,3
SBS,mh,,06,4
SBS,mh,,07,5
SBS,mh,,08,5
SBS,mh,,09,6
SBS,mk,1,01,4
SBS,mk,1,02,1
SBS,mk,1,03,2
SBS,mk,1,04,2
SBS,mk,1,05,3
SBS,mk,1,06,4
SBS,mk,1,07,5
SBS,mk,1,08,5
SBS,mk,1,10,7
SBS,mk,1,09a,6
SBS,mk,1,09b,6
