BGC,RSMR,Current,2025,2055,2085
BWBSwk2,1,0.829083333,0.781817284,0.745698572,0.70778643
BWBSwk2,2,0.912166667,0.879082194,0.856871944,0.828631669
BWBSwk2,3,0.95325,0.931306526,0.909349986,0.879736195
BWBSwk2,4,0.996,0.982216522,0.967355847,0.93897643
BWBSwk2,5,1,1,1,1
CWHws2,1,1,0.981562841,0.938246068,0.902887518
CWHws2,2,1,0.985678394,0.964398245,0.932990365
CWHws2,3,1,0.992451144,0.970817772,0.950542845
CWHws2,4,1,0.998092043,0.986954223,0.978360336
CWHws2,5,1,1,1,1
ESSFmv1,1,0.899916667,0.85610369,0.824045569,0.79554441
ESSFmv1,2,0.947333333,0.924543317,0.897354764,0.870891105
ESSFmv1,3,0.969583333,0.949355456,0.928204972,0.902318599
ESSFmv1,4,0.993083333,0.982135627,0.963737512,0.944320741
ESSFmv1,5,1,1,1,1
ESSFmv2,1,0.899916667,0.854535889,0.826199531,0.796246707
ESSFmv2,2,0.947333333,0.92285312,0.898893736,0.871070786
ESSFmv2,3,0.969583333,0.94856423,0.934274941,0.905408491
ESSFmv2,4,0.993083333,0.982920147,0.964673701,0.945608722
ESSFmv2,5,1,1,1,1
ESSFmv3,1,0.899916667,0.859321341,0.827890875,0.802803016
ESSFmv3,2,0.947333333,0.925842238,0.905261615,0.879282334
ESSFmv3,3,0.969583333,0.95420465,0.933383947,0.913917378
ESSFmv3,4,0.993083333,0.983890025,0.966738367,0.950616718
ESSFmv3,5,1,1,1,1
ESSFmv4,1,0.899916667,0.861026927,0.827622776,0.801885118
ESSFmv4,2,0.947333333,0.926442293,0.90309649,0.883403696
ESSFmv4,3,0.969583333,0.951897089,0.933237586,0.916758343
ESSFmv4,4,0.993083333,0.984429768,0.967496524,0.953900784
ESSFmv4,5,1,1,1,1
ESSFwc3,1,1,0.982046123,0.938109683,0.911714532
ESSFwc3,2,1,0.997256429,0.971346759,0.956905619
ESSFwc3,3,1,0.998430555,0.988214742,0.973644913
ESSFwc3,4,1,1,1,0.992461662
ESSFwc3,5,1,1,1,1
